waiting,duration
80,0.8333333
89,1.6166667
93,1.6166667
88,1.6333333
89,1.6333333
93,1.6666667
75,1.7
85,1.7
86,1.7166667
82,1.7333333
88,1.7333333
81,1.75
73,1.7666667
92,1.7666667
81,1.7666667
78,1.7833333
80,1.8
78,1.8
96,1.8
74,1.8166667
93,1.8166667
93,1.8166667
98,1.8166667
81,1.8333333
87,1.8333333
87,1.8333333
96,1.8333333
74,1.8333333
78,1.8333333
84,1.85
89,1.85
83,1.85
92,1.8666667
80,1.8666667
80,1.8666667
83,1.8833333
76,1.8833333
80,1.8833333
84,1.9
88,1.9
87,1.9166667
89,1.9166667
81,1.9333333
83,1.9333333
93,1.9333333
84,1.9333333
84,1.9333333
78,1.9333333
108,1.95
77,1.95
91,1.95
76,1.95
87,1.95
88,1.9666667
76,1.9666667
84,1.9666667
78,1.9833333
77,2
83,2
85,2
79,2
86,2
78,2
77,2
80,2
82,2
87,2
79,2
82,2
88,2
81,2
69,2
82,2
85,2
87,2
71,2
73,2
77,2
81,2
79,2
79,2.0166667
83,2.0166667
77,2.0333333
80,2.05
85,2.0666667
87,2.0833333
90,2.1
85,2.1166667
87,2.1333333
71,2.15
73,2.1666667
89,2.1833333
91,2.2
75,2.2166667
93,2.2666667
77,2.3833333
75,2.4666667
79,2.4833333
80,2.5
84,2.5666667
76,2.6
89,2.75
88,2.8333333
84,2.8666667
78,2.9333333
57,4
80,4
75,4
58,4
57,4
53,4
52,4
60,4
71,4
57,4
61,4
48,4
59,4
66,4
58,4
52,4
80,4
59,4
86,4
78,4
77,4
79,4
75,4
72,4
78,4
87,4
55,4
48,4
78,4
79,4
49,4
78,4
65,4
75,4
87,4
77,4
74,4
82,4
72,4
54,4
53,4
82,4
48,4
85,4
78,4
78,4
81,4
78,4
76,4
74,4
66,4
58,4
88,4
80,4.0166667
71,4.0333333
76,4.0666667
52,4.0833333
54,4.1
53,4.1166667
54,4.1333333
71,4.1333333
74,4.1333333
58,4.15
54,4.15
79,4.1666667
50,4.1666667
50,4.1666667
80,4.2
87,4.2
82,4.2166667
78,4.2166667
74,4.2166667
92,4.2166667
72,4.2166667
53,4.2166667
73,4.2333333
50,4.25
50,4.25
79,4.25
72,4.25
60,4.2666667
79,4.2666667
80,4.2666667
86,4.2833333
51,4.2833333
57,4.3
82,4.3166667
43,4.3333333
73,4.3333333
48,4.3333333
62,4.35
50,4.35
87,4.3666667
68,4.3666667
60,4.3833333
90,4.3833333
58,4.3833333
73,4.3833333
87,4.3833333
57,4.4
86,4.4
94,4.4166667
69,4.4166667
45,4.4166667
54,4.4166667
53,4.45
50,4.45
78,4.45
81,4.45
61,4.45
49,4.45
59,4.45
85,4.4666667
49,4.4666667
60,4.4666667
49,4.4666667
60,4.4833333
68,4.5
62,4.5
50,4.5
55,4.5
54,4.5
57,4.5166667
52,4.5333333
68,4.5333333
72,4.5833333
54,4.5833333
49,4.5833333
48,4.6
49,4.6
64,4.6
87,4.6
65,4.6166667
57,4.6166667
75,4.6166667
62,4.65
76,4.65
60,4.6666667
81,4.6666667
51,4.6666667
55,4.6666667
77,4.6833333
51,4.6833333
53,4.7
50,4.7
53,4.7
65,4.7333333
69,4.7333333
63,4.7333333
51,4.75
50,4.7666667
51,4.7666667
47,4.7666667
61,4.7833333
75,4.8
50,4.8
56,4.8333333
57,4.8333333
54,4.8666667
65,4.8833333
49,4.9166667
52,4.9166667
54,4.9666667
65,4.9666667
62,4.9666667
65,4.9833333
47,4.9833333
62,5.0333333
56,5.1
50,5.2666667
50,5.45
