TDLinx,Chain,Cluster,ACV,Currentpop,CurrentHouseholds,MedianHHincome,MedianYrsSchool,College_4YrsPctPen,College_Less_4YrsPctPen,HighSchoolGradPctPen,HighSchoolNoDiplomaPctPen,_to8YrsElemSchoolPctPen,WhiteCollarPctPen,AllServicePctPen,BlueCollarPctPen,Farm_Forest_FishPctPen,MedianHomeValue,MedianAgeTotalPop,WhitePopPctPen,BlackPopPctPen,Asian_PacificIslanderPopPctPen,PopOtherThanBlack_WhitePctPen,HispanicAncestryPctPen,Address,CityState,Zip,Groc_Count,Groc_Miles,Mass_Count,Mass_Miles,CSD_Volume_Sales,CSD_Volume_per__MM_ACV,CSD_Price,Corp_Pep_Volume_Sales,Corp_Pep_Volume_per__MM_ACV,Corp_Pep_Price,Corp_Coke_Volume_Sales,Corp_Coke_Volume_per__MM_ACV,Corp_Coke_Price,ZIP5,PRIZM_CODE,Prizm_Cluster,C1,C2,C3,S2,S3,S4,T1,T2,T3,T4,U1,U2,U3,lpepvol,lcokvol,lpeppri,lcokpri
16041,TOPS,Rural America,4160000,3768,1441,37958,12.7,12.87,24.97,39.12,16.43,6.61,47.9,19.87,29.69,2.6,114093,38,98.65,0.16,0.4,0.74,0.45,MAIN ST/HWY 9,CHESTERTOWN NY,12817,0,10,0,10,45492.14844,9995.964844,4.882426655,23385.69922,1.1618065343,-2.333787438,8387.250977,1.1271590347,-0.390033914,12817,38,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5482106532,7.4901982372,1.586993422,1.7567411121
16044,TOPS,Rural America,5200000,25599,9033,48715,12.9,15.01,22.84,37.02,14.55,10.59,51.77,16.02,30.39,1.82,116344,35.9,97.56,0.61,0.48,0.85,0.98,100 MAIN ST & MALLERY ST,CORINTH NY,12822,0,10,1,0.0167945418,70754.57813,11680.7793,4.640057964,37608.22656,1.7596747653,-2.580299857,11453.68652,1.3979194285,-0.363772943,12822,43,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.7322872448,7.5443859727,1.5707848842,1.7580735921
361576,TOPS,Rural America,2080000,3034,1287,32932,12.7,16.13,22.11,38.59,14.13,9.04,48.93,19.08,30.64,1.35,88851,44.7,97.46,0.53,0.23,0.89,1.12,MAIN ST & HWY 28,INDIAN LAKE NY,12842,1,4.2270228917,0,10,20626.21094,7664.824219,5.10246103,9514.524414,0.2506265924,-0.56349587,4353.47168,0.6360725548,0.202859199,12842,38,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.1800093246,7.3837331531,1.6962611069,1.786400307
16063,TOPS,Rural America,3640000,2595,872,33865,12.6,13.74,22.53,35.94,15.95,11.85,40.58,25.85,29.56,4.01,94219,32.7,97.3,0.42,0.73,1.31,0.96,4669 MAIN ST,NORTH CREEK NY,12853,0,10,0,10,41825.42578,9023.371094,4.755333763,21625.60547,0.8773845832,-2.248194746,7172.273926,0.4896205904,-0.474098255,12853,38,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.4471208452,7.3496573124,1.5925603733,1.7524637148
16101,TOPS,Rural America,3640000,2612,1019,33816,12.7,13.03,24.01,38.9,14.54,9.52,50,21.14,26.95,1.9,106483,38.1,97.82,0.69,0.38,0.8,0.69,MAIN ST,SCHROON LAKE NY,12870,0,10,0,10,36848.70703,10214.23926,5.220276025,18084.78125,1.1740023201,-0.136110155,8600.90918,2.3144561161,0.6658977163,12870,55,T4,0,0,0,0,0,0,0,0,0,1,0,0,0,8.5523249334,7.7086681491,1.7209433761,1.8089669048
16110,TOPS,Rural America,6500000,9379,3617,35438,12.6,14.34,21.88,34.53,17.52,11.73,49.56,15.94,32.61,1.91,104939,38.2,97.88,0.34,0.61,1.12,0.67,3836 MAIN ST,WARRENSBURG NY,12885,1,2.6967286461,1,0.0120529463,73649.65625,10105.75684,4.653999997,36505.66406,1.0720161239,-2.781821384,13651.70313,1.3208341064,-0.101369155,12885,56,T4,0,0,0,0,0,0,0,0,0,1,0,0,0,8.5173870202,7.5292553992,1.5573365696,1.771291336
16112,TOPS,Rural America,2600000,23275,7580,35392,12.5,9.47,24.06,37.1,17.69,11.68,42.56,17.99,34.87,4.6,88609,34.1,87.19,7.42,0.42,0.82,4.57,180 BROADWAY & KIRTLAND ST,WHITEHALL NY,12887,0,10,1,0.3644800285,41057.32031,11995.95117,4.602716819,21663.10742,1.8325814612,-2.650389301,7117.407715,1.9098372521,-0.609931058,12887,43,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.7525821638,7.6394458054,1.5661280276,1.7455133119
16124,TOPS,Rural America,2080000,5401,2126,32662,12.6,12.37,20.59,39.13,15.94,11.97,43.25,25.55,27.67,3.52,70396,37,98.5,0.17,0.31,0.67,0.67,24 MAIN ST,AU SABLE FORKS NY,12912,0,10,0,10,36008.00781,12019.33106,4.946343315,23483.31445,2.6919151012,-1.124124585,3999.097168,-0.098831884,0.131227199,12912,43,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.9651097783,7.1996733315,1.6629316348,1.7828633209
16125,TOPS,Rural America,5200000,17964,6666,34845,12.5,13.21,17.81,38.54,17.09,13.35,47.27,13.71,32.15,6.87,81741,35.1,94.75,2.17,0.46,1.2,1.89,HWY 9 & HWY 11,CHAMPLAIN NY,12919,0,10,1,0.050660395,97274.45313,9854.973633,5.022206338,60112.61328,1.6902318554,-0.99867466,13138.79883,-0.129172829,0.6793555774,12919,45,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.7125658482,7.1912950251,1.6704867208,1.8096152304
16129,TOPS,Rural America,3640000,5765,2236,32832,12.7,17.17,20.73,36.09,16.69,9.34,48.69,19.91,27.86,3.58,77925,40.2,96.88,1.04,0.56,0.95,1.14,276 COURT ST/ US HWY 9,ELIZABETHTOWN NY,12932,0,10,0,10,40693.83203,9211.733398,5.163598868,22972.8418,1.1819028209,-0.53121858,6747.547852,0.3894786964,0.2234596341,12932,43,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5549811818,7.3256697518,1.6981465931,1.7874151865
