female,math,hon
0,41,0
1,53,0
0,54,0
0,47,0
0,57,0
0,51,0
0,42,0
0,45,0
0,54,0
0,52,0
0,51,0
0,51,1
0,71,0
0,57,1
0,50,0
0,43,0
0,51,0
0,60,0
0,62,1
0,57,0
0,35,0
0,75,1
0,45,0
0,57,0
0,45,0
0,46,0
0,66,1
0,57,0
0,49,0
0,49,0
0,57,0
0,64,0
0,63,1
0,57,0
0,50,0
0,58,1
0,75,0
0,68,1
0,44,0
0,40,0
0,41,0
0,62,0
0,57,0
0,43,0
0,48,1
0,63,0
0,39,0
0,70,0
0,63,0
0,59,0
0,61,1
0,38,0
0,61,0
0,49,0
0,73,1
0,44,0
0,42,0
0,39,0
0,55,0
0,52,0
0,45,0
0,61,1
0,39,0
0,41,0
0,50,0
0,40,0
0,60,0
0,47,0
0,59,0
0,49,0
0,46,0
0,58,0
0,71,1
0,58,0
0,46,0
0,43,0
0,54,1
0,56,0
0,46,0
0,54,0
0,57,0
0,54,0
0,71,0
0,48,1
0,40,0
0,64,1
0,51,0
0,39,0
0,40,0
0,61,0
0,66,1
0,49,0
1,65,1
1,52,0
1,46,0
1,61,1
1,72,1
1,71,1
1,40,0
1,69,1
1,64,0
1,56,0
1,49,0
1,54,0
1,53,0
1,66,0
1,67,1
1,40,0
1,46,0
1,69,1
1,40,0
1,41,0
1,57,0
1,58,1
1,57,1
1,37,0
1,55,0
1,62,1
1,64,0
1,40,0
1,50,0
1,46,0
1,53,0
1,52,0
1,45,1
1,56,0
1,45,0
1,54,0
1,56,0
1,41,0
1,54,0
1,72,1
1,56,1
1,47,0
1,49,0
1,60,1
1,54,0
1,55,0
1,33,0
1,49,0
1,43,0
1,50,0
1,52,0
1,48,0
1,58,0
1,43,0
1,41,1
1,43,0
1,46,0
1,44,0
1,43,0
1,61,0
1,40,0
1,49,0
1,56,1
1,61,0
1,50,0
1,51,0
1,42,0
1,67,1
1,53,1
1,50,0
1,51,1
1,72,1
1,48,0
1,40,0
1,53,0
1,39,0
1,63,1
1,51,0
1,45,0
1,39,0
1,42,0
1,62,0
1,44,0
1,65,0
1,63,1
1,54,0
1,45,0
1,60,1
1,49,1
1,48,0
1,57,1
1,55,1
1,66,1
1,64,1
1,55,0
1,42,0
1,56,1
1,53,0
1,41,0
1,42,0
1,53,0
1,42,0
1,60,1
1,52,0
1,38,0
1,57,0
1,58,1
1,65,1
